id,name_prefix,name,capacity,is_shelter_id,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
1001,№ 1.08,Genesis Classroom,78,,,,,,,,,,,
1023,№ 1.08.1,Genesis Classroom,40,,,,,,,,,,,
1024,№ 1.08.2,Genesis Classroom,38,,,,,,,,,,,
1002,№ 1.17,ASTEM FOUNDATION Classroom,60,6.0,,,,,,,,,,
1025,№ 1.17.1,ASTEM FOUNDATION Classroom,28,2.0,,,,,,,,,,
1026,№ 1.17.2,ASTEM FOUNDATION Classroom,32,,,,,,,,,,,
1003,№ 2.08,TA Ventures Classroom,88,1.0,,,,,,,,,,
1027,№ 2.08.1,TA Ventures Classroom,50,,,,,,,,,,,
1028,№ 2.08.2,TA Ventures Classroom,38,,,,,,,,,,,
1004,№ 2.15,Roy Gartner Memorial classroom,72,,,,,,,,,,,
1029,№ 2.15.1,Roy Gartner Memorial classroom,42,,,,,,,,,,,
1030,№ 2.15.2,Roy Gartner Memorial classroom,30,5.0,,,,,,,,,,
1005,№ 3.05,Genesis Growth Classroom,24,3.0,,,,,,,,,,
1006,№ 3.06,ASTEM FOUNDATION Classroom,45,,,,,,,,,,,
1007,№ 3.13,Genesis Enterpreneurship Classroom,30,7.0,,,,,,,,,,
1009,№ 4.05,ARZINGER Classroom,24,4.0,,,,,,,,,,
1010,№ 4.07,ПУМБ Classroom,22,8.0,,,,,,,,,,
1011,№ 4.08,TAS Group Classroom,50,,,,,,,,,,,
1012,№ 4.16,Classroom,42,,,,,,,,,,,
1014,№ S1,Shelter 1,121,,,,,,,,,,,
1016,№ S2,Shelter 2,24,,,,,,,,,,,
1017,№ S3,Shelter 3,24,,,,,,,,,,,
1018,№ S4,Shelter 4,16,,,,,,,,,,,
1031,№ S5,Shelter 5,29,,,,,,,,,,,
1032,№ S6,Shelter 6,40,,,,,,,,,,,
1033,№ S7,Shelter 7,26,,,,,,,,,,,2.0
1034,№ S8,Shelter 8,16,,,,,,,,,,,
