id,name,pupils,format,Unnamed: 4
1210,А (Е) 1,13,онлайн,1210
1220,А (Е) 10,15,офлайн,1220
1221,А (Е) 11,15,офлайн,1221
1222,А (Е) 12,14,офлайн,1222
1212,А (Е) 2,15,офлайн,1212
1213,А (Е) 3,16,офлайн,1213
1214,А (Е) 4,15,офлайн,1214
1215,А (Е) 5,15,офлайн,1215
1216,А (Е) 6,14,офлайн,1216
1217,А (Е) 7,14,офлайн,1217
1218,А (Е) 8,14,офлайн,1218
1219,А (Е) 9,15,офлайн,1219
1202,А (IT) 1,15,офлайн,1202
1203,А (ІТ) 2,12,офлайн,1203
1204,А (IT) 3,15,офлайн,1204
1205,А (IT) 4,9,онлайн,1205
1206,А (ІТ) 5,15,офлайн,1206
1207,А (IT) 6,14,офлайн,1207
1208,А (IT) 7,13,офлайн,1208
1209,А (IT) 8,13,офлайн,1209
1223,А (П) 1,13,офлайн,1223
1224,А (П) 2,13,офлайн,1224
1225,А (П) 3,4,офлайн,1225
1226,А (П) 4,14,офлайн,1226
1280,ВМ (Л) 0,23,онлайн,1280
1227,ВМ (Л) 1,25,офлайн,1227
1228,ВМ (Л) 2,43,офлайн,1228
1229,ВМ (Л) 3,67,офлайн,1229
1230,ВМ (Л) 4,23,офлайн,1230
1231,ВМ (Л) 5,49,офлайн,1231
1232,ВМ (Л) 6,51,офлайн,1232
1195,ВМ (БЕ) 1,23,офлайн,1195
1196,ВМ (БЕ) 2,24,офлайн,1196
1197,ВМ (БЕ) 3,20,офлайн,1197
1198,ВМ (БЕ) 4,22,офлайн,1198
1199,ВМ (БЕ) 5,29,офлайн,1199
1200,ВМ (ЕБД) 1,21,офлайн,1200
1201,ВМ (ЕБД) 2,15,офлайн,1201
1190,ВМ (К),16,офлайн,1190
1191,ВМ (ПІБА) 1,25,офлайн,1191
1192,ВМ (ПІБА) 2,24,офлайн,1192
1193,ВМ (ПІБА) 3,23,офлайн,1193
1189,ВМ (Ші),16,офлайн,1189
1271,ВМ (П),21,офлайн,1271
1141,ВМ0,23,онлайн,1141
1308,ВМ (Т) 0,23,онлайн,1308
1275,ВМ (Т) 1,81,офлайн,1275
1276,ВМ (Т) 2,59,офлайн,1276
1277,ВМ (Т) 3,67,офлайн,1277
1278,ВМ (Т) 4,71,офлайн,1278
1233,ІУ (Л) 1,110,офлайн,1233
1234,ІУ (Л) 2,108,офлайн,1234
1237,ІУ (П) 1,25,офлайн,1237
1238,ІУ (П) 2,20,офлайн,1238
1239,ІУ (П) 3,22,офлайн,1239
1240,ІУ (П) 4,27,офлайн,1240
1241,ІУ (П) 5,23,онлайн,1241
1242,ІУ (П) 6,25,офлайн,1242
1243,ІУ (П) 7,26,офлайн,1243
1244,ІУ (П) 8,25,офлайн,1244
1245,ІУ (П) 9,25,офлайн,1245
1306,ІТЕ (Л) 1,88,офлайн,1306
1307,ІТЕ (Л)2,83,офлайн,1307
1259,ОПІ,31,офлайн,1259
1249,ЕПП,15,офлайн,1249
1250,ІФП,15,офлайн,1250
1258,ВТ,22,офлайн,1258
1132,ВР,13,офлайн,1132
1246,ВППЕ,30,офлайн,1246
1247,ПНС,30,офлайн,1247
1309,БА,19,офлайн,1309
1255,Мі,36,офлайн,1255
1264,АЧР,12,онлайн,1264
1272,ОП,123,офлайн,1272
1285,ОП (П) 1,24,офлайн,1285
1286,ОП (П) 2,16,офлайн,1286
1287,ОП (П) 3,24,офлайн,1287
1288,ОП (П) 4,23,офлайн,1288
1289,ОП (П) 5,19,офлайн,1289
1317,ОП (П) 6,17,офлайн,1317
1304,ЙС (П) 0,7,онлайн,1304
1300,ЙС (П)1,17,офлайн,1300
1301,ЙС (П)2,26,офлайн,1301
1302,ЙС (П)3,19,офлайн,1302
1262,ДПСН,31,офлайн,1262
1290,ЕМ,15,офлайн,1290
1279,ЕМ0,16,онлайн,1279
1315,АПД,14,офлайн,1315
1263,ПМ,34,офлайн,1263
1248,МІП,15,офлайн,1248
1253,МЕЗ онлайн,8,онлайн,1253
1273,МЕЗ (П) 1,17,офлайн,1273
1274,МЕЗ (П) 2,19,офлайн,1274
1186,КШЕ 1,103,офлайн,1186
1187,КШЕ 2,89,офлайн,1187
1297,КШЕ 3.1,30,офлайн,1297
1298,КШЕ 3.2,15,офлайн,1298
1305,КШЕ4,90,офлайн,1305
1257,ПП,22,офлайн,1257
1366,ЙС ALL,69,онлайн,1366
1367,МЕЗ ALL,44,офлайн,1367
