id,subject,teacher,group,count,format,is_lection,recording,min_days_between_two_lessons
549,Психіка і нервова система,Чернінський Андрій Олександрович,ПНС,2,офлайн,1,,
549,Психіка і нервова система,Чернінський Андрій Олександрович,ПНС,1,офлайн,0,,
548,Вступ до психології та професійна етика,Ляшенко Олексій Андрійович,ВППЕ ,2,офлайн,1,,
548,Вступ до психології та професійна етика,Ляшенко Олексій Андрійович,ВППЕ ,1,офлайн,0,,
563,Етика в правничій професії,Грищенко Катерина Станіславівна,ЕПП ,2,офлайн,1,,
563,Етика в правничій професії,Грищенко Катерина Станіславівна,ЕПП ,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Князь Ганна Олександрівна,А (П) 1,3,онлайн,0,,
547,Англійська для навчання та роботи 1,Князь Ганна Олександрівна,А (П) 3,3,офлайн,0,,
547,Англійська для навчання та роботи 1,Князь Ганна Олександрівна,А (П) 4,3,офлайн,0,,
547,Англійська для навчання та роботи 1,Князь Ганна Олександрівна,А (П) 2,3,офлайн,0,,
339,Сучасна історія України,Стадний Єгор Андрійович,ІУ (Л) 1,2,офлайн,1,,
339,Сучасна історія України,Стадний Єгор Андрійович,ІУ (Л) 2,2,офлайн,1,,
339,Сучасна історія України,Довгань Світлана Сергіївна,ІУ (П) 1,1,офлайн,0,,
339,Сучасна історія України,Стадний Єгор Андрійович,ІУ (П) 2,1,офлайн,0,,
339,Сучасна історія України,Довгань Світлана Сергіївна,ІУ (П) 3,1,офлайн,0,,
339,Сучасна історія України,Красінько Ольга Дмитрівна,ІУ (П) 4,1,офлайн,0,,
339,Сучасна історія України,Стадний Єгор Андрійович,ІУ (П) 5,1,онлайн,0,,
339,Сучасна історія України,Красінько Ольга Дмитрівна,ІУ (П) 6,1,офлайн,0,,
339,Сучасна історія України,Куделя Володимир Євгенович,ІУ (П) 7,1,офлайн,0,,
339,Сучасна історія України,Куделя Володимир Євгенович,ІУ (П) 8,1,офлайн,0,,
339,Сучасна історія України,Стадний Єгор Андрійович,ІУ (П) 9,1,офлайн,0,,
546,Як навчатися в КШЕ,Шевченко Георгій Михайлович,КШЕ 2,1,офлайн,1,,
546,Як навчатися в КШЕ,Палій Валерія Сергіївна,КШЕ 3.1,1,офлайн,1,,
546,Як навчатися в КШЕ,Берко Степан Тарасович,КШЕ 3.2,1,офлайн,1,,
546,Як навчатися в КШЕ,Шевченко Георгій Михайлович,KШE4,1,офлайн,1,,
547,Англійська для навчання та роботи 1,Питель Дар`я Андріївна,А (Е) 9,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Питель Дар`я Андріївна,А (Е) 10,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Питель Дар`я Андріївна,А (Е) 11,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Питель Дар`я Андріївна,А (Е) 12,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Фролова Діана Максимівна,А (Е) 1,2,онлайн,0,,
547,Англійська для навчання та роботи 1,Фролова Діана Максимівна,А (Е) 2,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Фролова Діана Максимівна,А (Е) 3,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Коркач Дарина Анатоліївна,А (Е) 5,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Коркач Дарина Анатоліївна,А (Е) 6,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Коркач Дарина Анатоліївна,А (Е) 7,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Коркач Дарина Анатоліївна,А (Е) 8,2,офлайн,0,,
456,Історія та філософія права,Сироїд Оксана Іванівна,ІФП ,1,офлайн,1,,
456,Історія та філософія права,Сироїд Оксана Іванівна,ІФП ,1,офлайн,0,,
547,Англійська для навчання та роботи 1,Скрипак Ольга Геннадіївна,А (IT) 1,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Скрипак Ольга Геннадіївна,А (ІТ) 2,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Скрипак Ольга Геннадіївна,А (IT) 3,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Скрипак Ольга Геннадіївна,А (ІТ) 4,2,онлайн,0,,
547,Англійська для навчання та роботи 1,Орищук Лідія Володимирівна,А (ІТ) 5,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Орищук Лідія Володимирівна,А (IT) 6,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Кір'якова Дар'я Дмитрівна,А (ІТ) 7,2,офлайн,0,,
547,Англійська для навчання та роботи 1,Кір'якова Дар'я Дмитрівна,А (IT) 8,2,офлайн,0,,
192,Вступ до математики,Павлов Тарас Володимирович,ВМ (Л) 0,1,онлайн,1,,
192,Вступ до математики,Павлов Тарас Володимирович,ВМ (Л) 1,1,офлайн,1,,
192,Вступ до математики,Павлов Тарас Володимирович,ВМ (Л) 2,1,офлайн,1,,
192,Вступ до математики,Павлов Тарас Володимирович,ВМ (Л) 3,1,офлайн,1,,
192,Вступ до математики,Павлов Тарас Володимирович,ВМ (Л) 4,1,офлайн,1,,
192,Вступ до математики,Павлов Тарас Володимирович,ВМ (Л) 5,1,офлайн,1,,
192,Вступ до математики,Павлов Тарас Володимирович,ВМ (Л) 6,1,офлайн,1,,
192,Вступ до математики,Чоп'юк Юрій Юрійович,МІП ,1,офлайн,1,,
192,Вступ до математики,Павлов Тарас Володимирович,МІП ,1,офлайн,0,,
192,Вступ до математики,Новак Антоніна Ігорівна,ВМ (ПІБА) 1,2,офлайн,0,,
192,Вступ до математики,Антошина Катерина Олегівна,ВМ (ПІБА) 2,2,офлайн,0,,
